model,year,transmission,mileage,fuel type,engine size,price
 A3,2018.0,Manual,11396.0,Petrol,1.5,19100.0
 A3,2017.0,Manual,11706.0,Petrol,1.5,16500.0
 C Class,2019.0,Semi-Auto,15195.0,Diesel,2.0,25999.0
 Focus,2017.0,Semi-Auto,26482.0,Diesel,1.5,12390.0
 Focus,2017.0,Manual,15375.0,Petrol,1.0,11768.0
 Q2,2019.0,Semi-Auto,2311.0,Petrol,1.5,28888.0
 Q3,2014.0,Semi-Auto,50000.0,Diesel,2.0,13991.0
 Focus,2017.0,Manual,10345.0,Petrol,2.0,17798.0
 A4,2019.0,Manual,6267.0,Petrol,2.0,23990.0
 A7,2017.0,Automatic,39309.0,Diesel,3.0,24490.0
 Focus,2019.0,Manual,10503.0,Diesel,1.5,18330.0
 Focus,2018.0,Semi-Auto,36413.0,Diesel,2.0,17495.0
 A1,2020.0,Manual,4000.0,Petrol,1.0,19990.0
 A3,2016.0,Manual,19494.0,Diesel,2.0,12500.0
 Q3,2016.0,Automatic,11863.0,Diesel,2.0,15500.0
 A6,2020.0,Automatic,3455.0,Diesel,2.0,37990.0
 C Class,2019.0,Semi-Auto,8912.0,Diesel,2.0,26599.0
 Focus,2014.0,Manual,59000.0,Diesel,1.56,6990.0
 Focus,2019.0,Manual,10018.0,Petrol,1.5,19110.0
 A6,2016.0,Automatic,34030.0,Diesel,2.0,19400.0
 Focus,2019.0,Manual,13706.0,Petrol,1.0,16400.0
 C Class,2017.0,Semi-Auto,19566.0,37,2.1,21000.0
 Focus,2009.0,Manual,98000.0,15,1.753,2995.0
 Focus,2018.0,Manual,9303.0,Petrol,1.0,13998.0
 A6,2018.0,Semi-Auto,25800.0,Diesel,2.0,25250.0
 C Class,2005.0,Automatic,73000.0,43,5.439,15990.0
 C Class,2007.0,Automatic,119168.0,26,1.796,3495.0
 Focus,2016.0,Manual,10008.0,Petrol,2.3,25000.0
 C Class,2018.0,Automatic,12000.0,Petrol,1.5,22991.0
 Focus,2019.0,Manual,7952.0,Petrol,1.0,14450.0
 A3,2016.0,Semi-Auto,11881.0,Petrol,1.4,20112.0
 C Class,2016.0,Semi-Auto,33113.0,Diesel,2.1,14580.0
 Q2,2019.0,Manual,4100.0,Diesel,1.6,22000.0
 Focus,2017.0,Manual,26345.0,Petrol,1.0,9900.0
 TT,2015.0,Manual,31208.0,Petrol,2.0,16842.0
 Q7,2019.0,Semi-Auto,3264.0,Diesel,3.0,46990.0
 Q3,2018.0,Automatic,25521.0,Diesel,2.0,21000.0
 Focus,2018.0,Manual,10283.0,14,0.999,12189.0
 A1,2013.0,Manual,75000.0,Diesel,1.6,6575.0
 Q2,2019.0,Semi-Auto,8664.0,Diesel,1.6,22480.0
 C Class,2019.0,Manual,1000.0,Petrol,1.6,23879.0
 Focus,2018.0,Manual,48961.0,Petrol,1.0,11000.0
 Q5,2016.0,Automatic,21500.0,Diesel,3.0,32490.0
 A3,2017.0,Semi-Auto,16048.0,Petrol,2.0,24075.0
 Focus,2018.0,Manual,10467.0,Petrol,1.0,11000.0
 Q3,2019.0,Manual,2506.0,Petrol,1.5,27950.0
 A1,2019.0,Automatic,4000.0,Petrol,2.0,23290.0
 Q5,2016.0,Semi-Auto,20547.0,Diesel,2.0,21498.0
 Focus,2016.0,Manual,41484.0,24,2.0,12998.0
 Q3,2019.0,Automatic,8000.0,Diesel,2.0,27400.0
 A3,2016.0,Manual,32923.0,Diesel,1.6,12998.0
 Q5,2019.0,Semi-Auto,6000.0,Petrol,2.0,39215.0
 Q5,2018.0,Semi-Auto,23500.0,Petrol,3.0,37995.0
 Focus,2016.0,Manual,26023.0,26,2.0,15998.0
 C Class,2016.0,Manual,19864.0,Diesel,2.1,14698.0
 Q5,2017.0,Automatic,85780.0,Diesel,2.0,16295.0
 A4,2019.0,Semi-Auto,6129.0,Diesel,2.0,26999.0
 Q3,2019.0,Semi-Auto,2263.0,Petrol,2.0,37000.0
 Q7,2019.0,Automatic,676.0,Diesel,3.0,51990.0
 A3,2019.0,Semi-Auto,6540.0,Diesel,1.6,22950.0
 Q2,2019.0,Manual,2555.0,Diesel,1.6,19690.0
 C Class,2015.0,Automatic,30891.0,Diesel,2.143,18500.0
 Focus,2018.0,Automatic,14952.0,Petrol,1.0,12539.0
 Focus,2017.0,Manual,29266.0,Petrol,1.0,9750.0
 Focus,2018.0,Manual,11457.0,14,1.0,12000.0
 C Class,2018.0,Semi-Auto,12491.0,38,2.1,27498.0
 Q5,2019.0,Semi-Auto,6000.0,Diesel,3.0,67990.0
 Q3,2019.0,Semi-Auto,3161.0,Petrol,1.5,28192.0
 C Class,2017.0,Automatic,26213.0,37,2.143,21399.0
 Focus,2017.0,Manual,24670.0,Diesel,1.5,10000.0
 A4,2016.0,Manual,49000.0,Diesel,2.0,13490.0
 A3,2016.0,Manual,14931.0,Diesel,1.6,13862.0
 Focus,2017.1490190205182,Manual,9999.0,Diesel,1.5,16818.0
 Q3,2020.0,Automatic,3000.0,Diesel,2.0,35895.0
 Focus,2019.0,Manual,5260.0,Petrol,1.0,17500.0
 Q5,2016.0,Semi-Auto,37500.0,Diesel,3.0,29500.0
 Focus,2018.0,Manual,16193.0,40,2.3,27845.0
 A1,2016.0,Manual,54150.0,Petrol,1.4,12046.0
 Focus,2013.0,Manual,37002.0,11,1.0,6790.0
 A4,2016.0,Manual,24625.0,Diesel,2.0,15500.0
 A7,2016.0,Semi-Auto,21023.0,Diesel,3.0,22498.0
 C Class,2018.0,Semi-Auto,9009.0,Petrol,2.0,24994.0
 Q3,2019.0,Automatic,4694.0,Diesel,2.0,26250.0
 A5,2019.0,Semi-Auto,3245.0,Diesel,2.0,25295.0
 C Class,2017.0,Automatic,39413.0,Diesel,2.1,18358.0
 A5,2019.0,Semi-Auto,12929.0,Diesel,2.0,28450.0
 C Class,2017.0,Automatic,23218.0,Petrol,4.0,40489.0
 C Class,2014.0,Semi-Auto,62448.0,31,2.1,10190.0
 A3,2016.0,Manual,18668.0,Petrol,2.0,18000.0
 Focus,2016.0,Manual,58312.0,16,1.5,8599.0
 A1,2020.0,Semi-Auto,3311.0,Petrol,1.5,22990.0
 A1,2019.0,Manual,4321.0,Petrol,1.0,20444.0
 Q3,2017.0,Manual,37151.0,Petrol,1.4,15998.0
 Q3,2020.0,Automatic,1500.0,Petrol,2.0,32444.0
 A4,2018.0,Manual,13268.0,Petrol,1.4,19998.0
 Q2,2018.0,Automatic,12210.0,Petrol,1.4,22999.0
 A4,2016.0,Manual,68958.0,Diesel,2.0,12700.0
 A3,2019.0,Semi-Auto,8679.0,Petrol,2.0,28950.0
 A4,2018.0,Semi-Auto,8874.0,Petrol,3.0,27850.0
 A4,2016.0,Manual,30578.0,Diesel,2.0,14995.0
 A7,2015.0,Semi-Auto,41656.0,Diesel,3.0,19998.0
 A3,2017.0,Manual,24833.0,Petrol,1.5,17780.0
 Q2,2018.0,Manual,10005.0,Petrol,1.4,20498.0
 Focus,2019.0,Manual,1494.0,Petrol,2.3,28580.0
 Q3,2019.0,Manual,3000.0,Petrol,1.5,24990.0
 A3,2019.0,Automatic,7093.0,Petrol,1.0,20000.0
 A3,2017.0,Manual,13688.0,Petrol,2.0,25995.0
 A4,2016.0,Semi-Auto,54697.0,Diesel,2.0,15489.0
 A4,2019.0,Semi-Auto,9560.0,Diesel,2.0,26990.0
 C Class,2017.0,Automatic,28042.0,32,1.991,17800.0
 Q2,2017.0,Manual,18842.0,Petrol,1.0,17995.0
 A4,2016.0,Semi-Auto,68441.0,Diesel,2.0,11790.0
 A1,2017.0,Manual,41427.0,Diesel,1.6,11842.0
 C Class,2017.0,Semi-Auto,9676.0,38,2.1,25798.0
 Q3,2019.0,Manual,1500.0,Diesel,2.0,26888.0
 C Class,2019.0,Automatic,1610.0,Diesel,2.0,28660.0
 Focus,2016.0,Manual,26950.0,36,2.0,15998.0
 Focus,2017.0,Manual,14439.0,Diesel,1.5,12099.0
 Q3,2019.0,Automatic,4034.0,Diesel,2.0,25944.0
 A1,2017.0,Manual,25168.0,Petrol,1.4,14399.0
 C Class,2019.0,Semi-Auto,3610.0,Petrol,2.0,28395.0
 C Class,2017.0,Semi-Auto,15527.0,32,2.1,22990.0
 A6,2016.0,Automatic,35784.0,Diesel,3.0,18999.0
 Focus,2015.0,Manual,33539.0,Diesel,1.5,8798.0
 C Class,2019.0,Automatic,7859.0,Petrol,2.0,29782.0
 C Class,2016.0,Semi-Auto,41279.0,Diesel,2.1,15798.0
 A4,2015.0,Manual,84638.0,Diesel,2.0,9249.0
 Q2,2017.0,Semi-Auto,32677.0,Petrol,1.4,19599.0
 Q2,2019.0,Automatic,9100.0,Diesel,2.0,26295.0
 Q5,2016.0,Semi-Auto,39818.0,Diesel,2.0,20000.0
 A3,2019.0,Manual,9000.0,Diesel,1.6,21500.0
 Q3,2016.0,Manual,44000.0,Diesel,2.0,16890.0
 Focus,2017.0,Manual,15725.0,14,1.0,10891.0
 Focus,2018.0,Manual,16963.0,Diesel,1.5,13299.0
 Focus,2019.0,Automatic,9675.0,Petrol,1.0,16635.0
 C Class,2016.0,Automatic,23907.0,37,2.1,18400.0
 A4,2017.0,Automatic,30364.0,Diesel,2.0,17290.0
 A4,2016.0,Manual,30595.0,Diesel,2.0,15499.0
 Q7,2013.0,Automatic,65000.0,Diesel,3.0,17995.0
 C Class,2015.0,Automatic,18263.0,32,2.0,16000.0
 Focus,2018.0,Manual,48961.0,Petrol,1.0,11000.0
 C Class,2019.0,Semi-Auto,19484.0,Diesel,2.0,24799.0
 A4,2018.0,Semi-Auto,8022.0,Petrol,1.4,20950.0
 C Class,2018.0,Semi-Auto,5659.0,Petrol,2.0,23498.0
 A1,2016.0,Manual,20863.0,Petrol,1.4,16950.0
 Q3,2019.0,Manual,6034.0,Diesel,2.0,26995.0
 A3,2016.0,Semi-Auto,14298.0,Petrol,1.4,14400.0
 Q5,2016.0,Semi-Auto,19521.0,Diesel,2.0,23900.0
 A3,2019.0,Semi-Auto,3399.0,Petrol,1.5,22470.0
 A6,2016.0,Semi-Auto,32951.0,Diesel,2.0,19298.0
 Q3,2015.0,Semi-Auto,43395.0,Diesel,2.0,16990.0
 SQ5,2014.0,Automatic,40000.0,Diesel,3.0,22200.0
 Q3,2015.0,Automatic,25988.0,Diesel,2.0,17850.0
 Q5,2019.0,Automatic,1297.0,Diesel,2.0,33500.0
 C Class,2016.0,Automatic,45000.0,Diesel,2.1,14000.0
 A8,2018.0,Semi-Auto,6173.0,Diesel,3.0,39881.0
 Focus,2019.0,Manual,14608.0,Petrol,1.0,18030.0
 A1,2016.0,Manual,30000.0,Petrol,2.0,8695.0
 A6,2017.0,Semi-Auto,12623.0,Diesel,2.0,19798.0
 Focus,2017.0,Automatic,22008.0,12,0.999,11800.0
 TT,2011.0,Manual,80000.0,Diesel,2.0,10250.0
 C Class,2019.0,Automatic,2960.0,Diesel,2.0,32540.0
 Q3,2019.0,Manual,3000.0,Diesel,1.5,27950.0
 A6,2019.0,Semi-Auto,4582.0,Diesel,3.0,33490.0
 Q3,2020.0,Semi-Auto,1000.0,Petrol,1.5,30990.0
 Focus,2014.0,Manual,51443.0,Diesel,1.5,7800.0
 A4,2014.0,Manual,80120.0,Diesel,2.0,10000.0
 Focus,2013.0,Manual,102500.0,16,1.56,5000.0
 Q3,2015.0,Manual,38497.0,Diesel,2.0,14490.0
 C Class,2017.0,Automatic,22571.0,Diesel,2.1,26249.0
 C Class,2019.0,Automatic,1894.0,Diesel,1.95,35298.0
 C Class,2019.0,Automatic,3070.0,Diesel,1.6,27799.0
 A4,2019.0,Automatic,2541.0,Diesel,3.0,43930.0
 A6,2018.0,Semi-Auto,22929.0,Diesel,2.0,24475.0
 Q5,2015.0,Manual,55411.0,Diesel,2.0,14670.0
 Q5,2010.0,Automatic,82397.0,Diesel,3.0,11099.0
 Focus,2016.0,Manual,23325.0,Petrol,1.0,9999.0
 Focus,2019.0,Automatic,4551.0,Diesel,2.0,19498.0
 A4,2019.0,Semi-Auto,9662.0,Diesel,2.0,26495.0
 A3,2019.0,Semi-Auto,5450.0,Petrol,2.0,31450.0
 Q2,2019.0,Semi-Auto,3588.0,Diesel,1.6,21944.0
 Q3,2015.0,Manual,27736.0,Diesel,2.0,14699.0
 Focus,2017.0,Manual,26240.0,14,1.0,11001.0
 Q2,2017.0,Semi-Auto,15992.0,Diesel,2.0,20490.0
 Q3,2017.0,Manual,26951.0,Petrol,1.4,16300.0
 C Class,2015.0,Automatic,64000.0,31,2.143,14490.0
 Q2,2019.0,Automatic,10.0,Petrol,1.5,26985.0
 A1,2019.0,Semi-Auto,1000.0,Petrol,1.0,26011.0
 Focus,2017.0,Manual,14441.0,Petrol,2.0,18498.0
 Focus,2019.0,Manual,25.0,Petrol,2.3,25950.0
 C Class,2018.0,Semi-Auto,3150.0,Diesel,2.0,27299.0
 Focus,2017.0,Manual,20988.0,Diesel,1.5,12690.0
 S3,2015.0,Manual,32000.0,Petrol,2.0,18790.0
 C Class,2014.0,Manual,57062.0,Diesel,0.0,14750.0
 Focus,2018.0,Manual,20144.0,Petrol,1.0,12495.0
 A6,2016.0,Manual,37729.0,Diesel,2.0,15995.0
 C Class,2015.0,Semi-Auto,19039.0,37,2.1,17749.0
 A4,2016.0,Manual,33303.0,Diesel,2.0,14998.0
 Q3,2020.0,Semi-Auto,4500.0,Petrol,2.0,34000.0
 Q3,2019.0,Manual,100.0,Diesel,2.0,30950.0
 Q5,2014.0,Automatic,37459.0,Petrol,2.0,19999.0
 Q2,2019.0,Manual,4157.0,Diesel,1.6,21600.0
 Focus,2019.0,Manual,10000.0,Petrol,1.0,16999.0
 Focus,2019.0,Manual,11291.0,Petrol,1.0,15935.0
 A4,2018.0,Manual,24140.0,Petrol,1.4,17300.0
 Q5,2019.0,Semi-Auto,6000.0,Petrol,2.0,38990.0
 Q3,2020.0,Semi-Auto,5000.0,Petrol,1.5,38990.0
 A3,2019.0,Semi-Auto,2803.0,Petrol,1.5,26450.0
 Focus,2019.0,Manual,8140.0,Petrol,1.0,17499.0
 Focus,2019.0,Manual,4710.0,Petrol,1.0,18995.0
 A3,2017.0,Manual,8391.0,Petrol,1.0,15141.0
 A5,2019.0,Automatic,500.0,Diesel,2.0,27500.0
 A3,2016.0,Manual,23933.0,Diesel,2.0,16998.0
 Focus,2018.0,Manual,11382.0,Petrol,1.0,13500.0
 Q5,2015.0,Semi-Auto,53646.0,Diesel,3.0,23450.0
 Q2,2019.0,Automatic,4515.0,Petrol,2.0,26970.0
 C Class,2017.0,Semi-Auto,8306.0,31,2.0,19199.0
 Q3,2017.0,Manual,41767.0,Petrol,1.4,15749.0
 A3,2019.0,Automatic,9527.0,Petrol,1.5,23950.0
 Q3,2020.0,Semi-Auto,4500.0,Petrol,1.5,34000.0
